site_id,longitude,latitude,RSr,Shannon,Pielou,ab
B09BIO,1.973523,48.89634,4,1.22207116334987,0.88153800348913,1415
B09DUB,1.973523,48.89634,7.99999816602686,1.55628991332893,0.74841732922383,3270
B09FUM,1.973523,48.89634,6,1.60786408099892,0.897366029655551,971
B09M103C,3.047961,50.44556,10.3112386898104,1.59609186253755,0.684068363804614,28650
B09M117C,3.047961,50.44556,7.9999999980057,1.68972252521473,0.812584769299305,2386
B09MTEC,3.047961,50.44556,3,0.637617431479338,0.580384397713543,883
B09OMR,1.973523,48.89634,2,0.673194708883317,0.97121466805865,442
B09TEM,1.973523,48.89634,5.99999999921906,0.998725543708591,0.557399338992427,2563
B10AUPTé,3.372364,45.39225,4.99992812454887,0.86966488069994,0.54035799811343,4863
B10G0ES,4.930058,44.97686,2,0.682891499584426,0.98520417991568,2476
B10GOBA,4.930058,44.97686,7.35531579545355,1.22561086375945,0.614210964829815,27766
B10GOBS,4.930058,44.97686,4.99964508954676,0.960514920306954,0.596827798372612,5836
B10GOEA,4.930058,44.97686,6.99956731439765,1.20309094261505,0.618286081719218,10347
B10GOES,4.930058,44.97686,8.24562066128995,1.0565040742084,0.500788250926202,40444
B10GORA,4.930058,44.97686,3.54709678370144,0.0796784080399137,0.0629306958436919,35727
B10GORS,4.930058,44.97686,5.99996343277491,0.756068861171335,0.421971501133495,4332
B10THLA,5.021414,45.81449,8.99069639768162,1.73836813632842,0.791538023433503,8489
B10THLT,5.021414,45.81449,12.8790411819595,1.87441224712146,0.733452540145104,12822
B10THTR,5.021414,45.81449,11.9983426509358,1.63049403149526,0.656195542254709,5568
B10THTS,5.021414,45.81449,9.99535556235837,1.7940033606637,0.779282982122881,7161
B10YVGC,0.7582528,49.61934,4.99999994553415,1.29383417214441,0.803904376121411,2828
B10YVPP,0.7582528,49.61934,4,1.33123212785543,0.960280994564546,441
B10YVSI,0.7582528,49.61934,2.99999999999999,0.875983356518112,0.79735441297503,4509
B10YVSII,0.7582528,49.61934,5.99999315079364,1.41128626713029,0.787654364608086,7782
B10YVSIII,0.7582528,49.61934,0,0,,88
B10YVSIV,0.7582528,49.61934,8.92318471557118,1.5429544378088,0.704979043549862,13794
